request_id,user_id,decision,safe_amount,requested_amount,currency,payment_method,payment_option_id,payment_plan,earliest_safe_date,spending_changes,reasons,warnings,confidence
request_26,user_26,affordable_now,15656000.0,15656000.0,IDR,,,,2025-08-03,[],"['The requested purchase fits within the current available balance.', 'The purchase preserves the required minimum financial reserve.', ""The 90-day forecast remains above the user's safety floor.""]",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_27,user_27,affordable_now,6670.0,6670.0,ZAR,,,,2026-07-05,[],"['The requested purchase fits within the current available balance.', 'The purchase preserves the required minimum financial reserve.', ""The 90-day forecast remains above the user's safety floor.""]",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_28,user_28,not_affordable,689.4000000000001,1302.4,EUR,,,,,"['Consider stopping non-essential spending in streaming.', 'Consider stopping non-essential spending in cloud_storage.']","['The requested amount cannot be safely supported by the current financial position.', 'Available payment plans do not provide a safe solution.']",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_29,user_29,affordable_now,51524.0,51524.0,ZAR,,,,2025-11-04,[],"['The requested purchase fits within the current available balance.', 'The purchase preserves the required minimum financial reserve.', ""The 90-day forecast remains above the user's safety floor.""]",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_30,user_30,affordable_now,775.2,775.2,USD,,,,2026-04-06,[],"['The requested purchase fits within the current available balance.', 'The purchase preserves the required minimum financial reserve.', ""The 90-day forecast remains above the user's safety floor.""]",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_31,user_31,affordable_later,18164000.0,18164000.0,IDR,,,,2024-09-15,[],"['The purchase is not safely affordable under the current cash position.', 'Waiting until the identified future date provides a safer cash position.']",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_32,user_32,not_affordable,33305.8,40018.0,ZAR,,,,,"['Consider reducing spending in dining.', 'Consider stopping non-essential spending in delivery_membership.']","['The requested amount cannot be safely supported by the current financial position.', 'Available payment plans do not provide a safe solution.']",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_33,user_33,not_affordable,65180.0,118000.0,INR,,,,,"['Consider reducing spending in streaming.', 'Consider reducing spending in shopping.', 'Consider reducing spending in entertainment.', 'Consider stopping non-essential spending in streaming.', 'Consider stopping non-essential spending in cloud_storage.']","['The requested amount cannot be safely supported by the current financial position.', 'Available payment plans do not provide a safe solution.']",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.85
request_34,user_34,affordable_now,129400.0,129400.0,INR,,,,2024-12-04,[],"['The requested purchase fits within the current available balance.', 'The purchase preserves the required minimum financial reserve.', ""The 90-day forecast remains above the user's safety floor.""]",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.95
request_35,user_35,not_affordable,125130.0,212000.0,INR,,,,,['Consider reducing spending in dining.'],"['The requested amount cannot be safely supported by the current financial position.', 'Available payment plans do not provide a safe solution.']",['No supplied payment option is both user-accepted and safe under the 90-day cash-flow forecast.'],0.85
